combo;rang;type_main
[16 24 29 37 50];45;2
[ 3 24 37 42 50];45;2
[ 3 24 29 37 50];45;2
[ 3 16 24 37 50];45;2
[11 24 29 42 50];45;2
[11 16 37 42 50];45;2
[11 16 29 37 50];45;2
[ 3 11 37 42 50];45;2
[ 3 11 29 37 50];45;2
[11 29 37 42 50];45;2
[11 15 24 28 50];46;2
[ 2 11 15 24 37];46;2
[ 2 11 24 28 37];46;2
[ 2 11 24 37 41];46;2
[11 15 24 28 37];46;2
[11 15 24 37 41];46;2
[11 24 28 37 41];46;2
[ 2 11 15 24 50];46;2
[ 2 11 24 28 50];46;2
[ 2 11 24 41 50];46;2
[11 15 24 41 50];46;2
[11 24 28 41 50];46;2
[ 2 11 15 37 50];46;2
[15 24 37 41 50];46;2
[15 24 28 37 50];46;2
[ 2 24 37 41 50];46;2
[ 2 24 28 37 50];46;2
[ 2 15 24 37 50];46;2
[24 28 37 41 50];46;2
[11 15 37 41 50];46;2
[11 15 28 37 50];46;2
[ 2 11 37 41 50];46;2
[ 2 11 28 37 50];46;2
[11 28 37 41 50];46;2
[11 14 24 27 50];47;2
[ 1 11 14 24 37];47;2
[ 1 11 24 27 37];47;2
[ 1 11 24 37 40];47;2
[11 14 24 27 37];47;2
[11 14 24 37 40];47;2
[11 24 27 37 40];47;2
[ 1 11 14 24 50];47;2
[ 1 11 24 27 50];47;2
[ 1 11 24 40 50];47;2
[11 14 24 40 50];47;2
[24 27 37 40 50];47;2
[ 1 11 14 37 50];47;2
[ 1 11 27 37 50];47;2
[ 1 11 37 40 50];47;2
[11 14 27 37 50];47;2
[11 14 37 40 50];47;2
[11 27 37 40 50];47;2
[ 1 14 24 37 50];47;2
[ 1 24 27 37 50];47;2
[ 1 24 37 40 50];47;2
[14 24 27 37 50];47;2
[14 24 37 40 50];47;2
[11 24 27 40 50];47;2
[ 0 11 24 39 50];48;2
[ 0 11 24 26 50];48;2
[ 0 11 13 24 50];48;2
[11 24 26 37 39];48;2
[11 13 24 26 50];48;2
[11 13 24 26 37];48;2
[ 0 11 24 37 39];48;2
[ 0 11 24 26 37];48;2
[ 0 11 13 24 37];48;2
[11 13 24 37 39];48;2
[11 13 24 39 50];48;2
[24 26 37 39 50];48;2
[ 0 11 13 37 50];48;2
[13 24 37 39 50];48;2
[13 24 26 37 50];48;2
[ 0 24 37 39 50];48;2
[ 0 24 26 37 50];48;2
[ 0 13 24 37 50];48;2
[11 24 26 39 50];48;2
[11 13 37 39 50];48;2
[11 13 26 37 50];48;2
[ 0 11 37 39 50];48;2
[ 0 11 26 37 50];48;2
[11 26 37 39 50];48;2
[10 23 25 49 51];49;2
[10 12 23 36 38];49;2
[10 12 23 36 51];49;2
[10 23 25 36 38];49;2
[10 23 25 36 51];49;2
[10 23 36 38 51];49;2
[10 12 23 25 49];49;2
[10 12 23 38 49];49;2
[10 12 23 49 51];49;2
[10 23 25 38 49];49;2
[10 12 23 25 36];49;2
[10 23 38 49 51];49;2
[10 12 36 38 49];49;2
[10 12 36 49 51];49;2
[10 25 36 38 49];49;2
[10 25 36 49 51];49;2
[10 36 38 49 51];49;2
[12 23 25 36 49];49;2
[12 23 36 38 49];49;2
[12 23 36 49 51];49;2
[23 25 36 38 49];49;2
[23 25 36 49 51];49;2
[23 36 38 49 51];49;2
[10 12 25 36 49];49;2
[10 11 23 49 50];50;2
[10 11 23 37 49];50;2
[10 11 23 24 49];50;2
[10 23 36 37 50];50;2
[10 23 24 37 49];50;2
[10 23 24 36 37];50;2
[10 11 23 36 50];50;2
[10 11 23 36 37];50;2
[10 11 23 24 36];50;2
[10 23 24 36 50];50;2
[10 23 24 49 50];50;2
[10 23 37 49 50];50;2
[10 11 24 36 49];50;2
[23 24 36 49 50];50;2
[23 24 36 37 49];50;2
[11 23 36 49 50];50;2
[11 23 36 37 49];50;2
[11 23 24 36 49];50;2
[23 36 37 49 50];50;2
[10 24 36 49 50];50;2
[10 24 36 37 49];50;2
[10 11 36 49 50];50;2
[10 11 36 37 49];50;2
[10 36 37 49 50];50;2
[10 22 23 35 49];52;2
[ 9 10 22 23 36];52;2
[ 9 10 23 35 36];52;2
[ 9 10 23 36 48];52;2
[10 22 23 35 36];52;2
[10 22 23 36 48];52;2
[10 23 35 36 48];52;2
[ 9 10 22 23 49];52;2
[ 9 10 23 35 49];52;2
[ 9 10 23 48 49];52;2
[10 22 23 48 49];52;2
[10 23 35 48 49];52;2
[ 9 10 22 36 49];52;2
[22 23 36 48 49];52;2
[22 23 35 36 49];52;2
[ 9 23 36 48 49];52;2
[ 9 23 35 36 49];52;2
[ 9 22 23 36 49];52;2
[23 35 36 48 49];52;2
[10 22 36 48 49];52;2
[10 22 35 36 49];52;2
[ 9 10 36 48 49];52;2
[ 9 10 35 36 49];52;2
[10 35 36 48 49];52;2
[10 21 23 34 49];53;2
[ 8 10 21 23 36];53;2
[ 8 10 23 34 36];53;2
[ 8 10 23 36 47];53;2
[10 21 23 34 36];53;2
[10 21 23 36 47];53;2
[10 23 34 36 47];53;2
[ 8 10 21 23 49];53;2
[ 8 10 23 34 49];53;2
[ 8 10 23 47 49];53;2
[10 21 23 47 49];53;2
[23 34 36 47 49];53;2
[ 8 10 21 36 49];53;2
